Data,Fechamento
02/10/2023,65.08
03/10/2023,64.68
04/10/2023,63.99
05/10/2023,64.02
06/10/2023,64.95
09/10/2023,64.49
10/10/2023,64.88
11/10/2023,65.44
13/10/2023,64.69
16/10/2023,65.38
17/10/2023,65.92
18/10/2023,63.5
19/10/2023,62.58
20/10/2023,60.89
23/10/2023,60.78
24/10/2023,62.17
25/10/2023,62.11
26/10/2023,63.44
27/10/2023,65.64
30/10/2023,66.24
31/10/2023,67.03
01/11/2023,68.32
03/11/2023,69.17
06/11/2023,69.46
07/11/2023,68.08
08/11/2023,68.13
09/11/2023,68.46
10/11/2023,69.51
13/11/2023,69.37
14/11/2023,71.51
16/11/2023,71.99
17/11/2023,72.12
20/11/2023,73.89
21/11/2023,75.68
22/11/2023,74.85
23/11/2023,74.38
24/11/2023,73.75
27/11/2023,73.31
28/11/2023,73.47
29/11/2023,73.45
30/11/2023,73.85
01/12/2023,75.22
04/12/2023,73.53
05/12/2023,72.85
06/12/2023,72.37
07/12/2023,72.6
08/12/2023,72.8
11/12/2023,72.86
12/12/2023,72.99
13/12/2023,73.0
14/12/2023,73.4
15/12/2023,73.86
18/12/2023,74.21
19/12/2023,74.73
20/12/2023,74.49
21/12/2023,76.97
22/12/2023,76.39
26/12/2023,76.66
27/12/2023,77.4
28/12/2023,77.2
02/01/2024,77.05
03/01/2024,76.65
04/01/2024,75.62
05/01/2024,74.65
08/01/2024,74.27
09/01/2024,73.33
10/01/2024,72.23
11/01/2024,72.61
12/01/2024,71.69
15/01/2024,71.55
16/01/2024,70.62
17/01/2024,69.45
18/01/2024,69.0
19/01/2024,68.1
22/01/2024,67.8
23/01/2024,69.2
24/01/2024,69.9
25/01/2024,68.36
